[DEBUG] 2020-02-22 11:51:29.034 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@3605c4d3
[DEBUG] 2020-02-22 11:51:29.036 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@7c8326a4
[DEBUG] 2020-02-22 11:51:29.037 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@7c8326a4
[DEBUG] 2020-02-22 11:51:29.040 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@60baef24
[DEBUG] 2020-02-22 11:51:29.040 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@60baef24
[DEBUG] 2020-02-22 11:51:29.040 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@60baef24
[DEBUG] 2020-02-22 11:51:29.044 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@45f24169
[DEBUG] 2020-02-22 11:51:29.045 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@6f6962ba
[DEBUG] 2020-02-22 11:51:29.046 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@6f6962ba
[DEBUG] 2020-02-22 11:51:29.046 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@6f6962ba
[DEBUG] 2020-02-22 11:51:29.047 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@599f571f
[DEBUG] 2020-02-22 11:51:29.050 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@65327f5
[DEBUG] 2020-02-22 11:51:29.050 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@65327f5
[DEBUG] 2020-02-22 11:51:29.053 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@349d0836
[DEBUG] 2020-02-22 11:51:29.053 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@349d0836
[DEBUG] 2020-02-22 11:51:29.055 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@4917d36b
[DEBUG] 2020-02-22 11:51:29.056 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@4917d36b
[DEBUG] 2020-02-22 11:51:29.058 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@4905c46b
[DEBUG] 2020-02-22 11:51:29.058 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@4905c46b
[DEBUG] 2020-02-22 11:51:29.060 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@693e4d19
[DEBUG] 2020-02-22 11:51:29.060 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@693e4d19
[DEBUG] 2020-02-22 11:51:29.062 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@1c12f3ee
[DEBUG] 2020-02-22 11:51:29.065 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@511d5d04
